text;label
"@filosofiksi Yuk dukung khilafah..
Khalifnya Jokowi.
Batal 3 periode jadi 3 generasi 😂";Negatif
@CNNIndonesia Presiden terbaik selama indonesia merdeka,lanjutkan 3 periode;Positif
@convomfs Satwa liar, mudik, harga bbm, 3 periode, popo;Netral
@detikcom Jokowi telah ambil sikap dgn pelaksanaan pemilu thn 2024 , ini mengabur kan impian org2 yg gila kuasa utk 3 periode.;Negatif
"KAMIS, 28/APRIL/2022,

RESULT PASARAN BURMA
PERIODE KE - 1770 : 
PRIZE 1 : 1902
PRIZE 2 : 9707
PRIZE 3 : 4748
SELAMAT KEPADA PARA PEMENANG";Netral
@democrazymedia Makanya pak..lanjut 3 periode...teleq;Negatif
@sasasayatusa_ wacana 3 periode itu sementara para ketua;Netral
@sasasayatusa_ tegas tolak 3 periode;Negatif
@sasasayatusa_ keterlaluan cak imin mau menjerumuskan pak jokowi 3 periode;Negatif
@sasasayatusa_ Kenapa rakyat ingin Pak Jokowi lanjut 3 periode? Karena berhasil membangun Indonesia;Positif
@fwlare @airlangga_hrt Catet dia yg mo bikin malu jokowi 3 periode;Negatif
"@KompasTV Bu Puan VS Pak Ganjar VS Pak Jokowi 3 periode

Mantab ibu...💪";Positif
@JempolJohan @msaid_didu Kalo di jepang udah mundur atau kalo yg lebih sadis lagi ditawor rakyatnya. Kalo di film2 bisa minta 3 periode;Negatif
@sasasayatusa_ mantap, stop bicara 3 periode,;Negatif
"@sasasayatusa_ dukung pemerintah fokus bekerja, stop bicara 3 periode,

#PenundaanPemilu
#Tolak3Periode
#tolaktegaspenundaanpemilu";Negatif
@An_Kiim Strategi untukengalihkan perhatian untuk kasus 3 periode;Negatif
@budi_anwirra @Putr1_Tungga1 Belommm....kalok 3 periode nder;Netral
@An_Kiim Bentar lagi para ustadz, guru ngaji, guru TPA di kumpulin dibayar untuk hal yang sama sekaligus dukungan 3 Periode.;Negatif
"@Putr1_Tungga1 2 Periode aja dah Cukup bikin Kadrun Onani Berjama'ah
Apalagi kalok 3 periode
Tugel Peline";Netral
@CNNIndonesia Klo gagal mendingan turun aja jd presiden kayak gini mau 3 periode;Negatif
@KompasTV Kalo sy dipercaya 3 periode, Tak akan Saya Biarkan;Negatif
@KompasTV Yang itu udah gak bakal kepilih lagi kecuali keukeuh 3 periode..;Netral
@sasasayatusa_ hadehh,, tolak 3 periode gaes!;Negatif
@sasasayatusa_ hanya partai koalisi yang dapat menampar wajah pak Jokowi mengusulkan 3 periode;Negatif
@paakkeeeet kebijakan 3 periode juga gagal :(;Negatif
@keuangannews_id Pak ktanya petani sawit pengen Jokowi 3 periode, coba datangi lagi mereka pak.;Positif
@sasasayatusa_ Presiden Joko Widodo sudah menegaskan jika tidak ada jabatan presiden 3 periode;Negatif
@KompasTV Bru Kita pilih orang bodok 3 periode lagi????;Negatif
@SirianaGde Kalau terjadi periode ke - 3 .. pasti akan lebih mengerikan daripada perang dunia ke-3 .,;Negatif
@ArdityaChandra4 @kangdede78 @aniesbaswedan Siapa Jokowie Bilang 3 Periode Hahaha Tolol;Netral
@sigitwid @aniesbaswedan Kemaren ada yg buat kampanye 3 periode mingkem lu !;Netral
@NayDonuts @yulitasaarii___ @jokowi orang ini yg kemaren juga bikin kisruh penundaan apa yg 3 periode ya....;Negatif
@mohmahfudmd Hrs diganti karna gak strong ya Pak Mahfud, disamping gagal 3 periode ?;Netral
@ChusnulCh__ @DKIJakarta Maunya gambar 3 periode ya . . . . 🤣🤣🤣🤣;Netral
@jokowi Cacam pak...3 periode pak;Positif
@farididoev Mulakno 3 periode, ben kasembadan;Netral
@shotarotidur @yurizhialfa gak sekalian aja shotaro 3 periode? 😃;Netral
"@Abaaah kalau kurang puas, msh ada wacana 3 periode &amp; penambahan masa jabatan bah~😃🤦‍♂️";Positif
@SangGuru2471 @mohmahfudmd Rakyat masih cinta jokowi peesiden, 3 periode lanjut👍;Positif
@CNNIndonesia semoga di periode ke 3 lebih baik pak;Positif
@sigitwid @aniesbaswedan gak taulah, sebagaimana jokowi gak tau bawahannya ngusul jokowi 3 periode;Negatif
"@privetbro1 Tinggal 2 tahun kok, saya tidak kuatir, asal jangan 3 periode aja.
Oraaaa!";Negatif
@cintuckydiary Emg sharing hukum bermanfaat ya ? Sedangkan kenyataannya fakta berbanding terbalik dengab teori. Contohnya jokowow 3 periode;Netral
@De34Naeun Dukung aku sampai 3 periode nuna;Positif
@PKSejahtera klo begini, berarti bener Jokowi Harus 3 Periode hahahaha;Positif
@CNNIndonesia Kalo mau 3 periode ..harus ikuti kehendak mafiab;Negatif
@arcadipolis GUA BARU PDKT, apapun hasilnya pilih jokowi 3 periode;Positif
@Muhamma13646518 @SITINUR51514627 @aniesbaswedan @Jakartaeprix Muntahin aja... saya maunya jokowi 3 periode;Positif
"@mohtahid Masih minat 3 periode Bong ?
#OligarkMakinBrutal";Negatif
Kenapa menteri agama gak gantian ya, periode 1 dari Islam, periode 2 dari Kristen, periode 3 dari Hindu, dst. dst.;Netral
"@kumparan Ngurus migor aja sampe kocar kacir. Minta 3 periode.
Anjing ngelunjak .";Negatif
@VIVAcoid Abaikan berita ini. Fokus gagalkan 3 periode/perpanjangan masa jabatan. Runtuhkan semua proyek penjajahan naga2;Negatif
@kasito17 @Rizmaya__ @aniesbaswedan Ada yg kampanye 3 periode mingkem lu !;Netral
@Andreas56524611 @alextham878 Big dusta opung lbp demi 3 periode?? Denny siregar memfitnah mahasiswa tdk puasa kenapa tdk diciduk??;Negatif
@TenaboloDade @alextham878 Big dusta opung lbp demi 3 periode?? Denny siregar memfitnah mahasiswa tdk puasa kenapa tdk diciduk??;Negatif
@Gondo_Maruto @alextham878 Big dusta opung lbp demi 3 periode?? Denny siregar memfitnah mahasiswa tdk puasa kenapa tdk diciduk??;Negatif
@Kuasaangin02 @alextham878 Big dusta opung lbp demi 3 periode?? Denny siregar memfitnah mahasiswa tdk puasa kenapa tdk diciduk??;Negatif
@aliandofirlano @alextham878 Big dusta opung lbp demi 3 periode?? Denny siregar memfitnah mahasiswa tdk puasa kenapa tdk diciduk??;Negatif
@oktafian @alextham878 Big dusta opung lbp demi 3 periode?? Denny siregar memfitnah mahasiswa tdk puasa kenapa tdk diciduk??;Negatif
@cybsquad_ @jokowi @Kiyai_MarufAmin @adeyasinn apakah yg dukung 3 periode .... ?;Netral
@OemarFaruq9 @alextham878 Big dusta opung lbp demi 3 periode?? Denny siregar memfitnah mahasiswa tdk puasa kenapa tdk diciduk??;Negatif
@AdamRiz66589759 @alextham878 Big dusta opung lbp demi 3 periode?? Denny siregar memfitnah mahasiswa tdk puasa kenapa tdk diciduk??;Negatif
@kangdede78 @aniesbaswedan Ya mending anis presiden dari pada melanggar konstitusi untuk 3 periode;Negatif
@Koko67793366 @alextham878 Big dusta opung lbp demi 3 periode?? Denny siregar memfitnah mahasiswa tdk puasa kenapa tdk diciduk??;Negatif
@Zackf77156873 @alextham878 Big dusta opung lbp demi 3 periode?? Denny siregar memfitnah mahasiswa tdk puasa kenapa tdk diciduk??;Negatif
@suwardi_unisri @alextham878 Big dusta opung lbp demi 3 periode?? Denny siregar memfitnah mahasiswa tdk puasa kenapa tdk diciduk??;Negatif
@OhNooo_777 @M4young_ @DivHumas_Polri Big dusta opung lbp demi 3 periode??;Negatif
"@EriekaAmelia @susipudjiastuti Makanya di tambahin waktu u/ periode- 3 , biar kelar... 
Hancurnya....??? 😂";Negatif
@sigit_kiss @M4young_ @DivHumas_Polri Big dusta opung lbp demi 3 periode??;Negatif
@SonjayaSyaiful @M4young_ @DivHumas_Polri Big dusta opung lbp demi 3 periode??;Negatif
@DokterTifa Bu dok mending istirahat medsos deh main sama cucu. Jokowi mau 3 periode masih aja pakai term cebong2an.;Netral
@democrazymedia Salam 3 periode;Positif
@psikopret nangisin jokowi mw periode 3;Netral
@CNNIndonesia Meski gagal, namun kalau diperpanjang masa jabatan atau lanjut 3 periode ga nolak ya pak de?;Netral
@BiinHidayat @keuangannews_id Kabulkanlah yg ini 3 periode ya Allah....., Aamiin...;Positif
@CNNIndonesia Minyak goreng bisa normal lagi kalau saya 3 periode;Positif
@BatakIsMe_ Perih emang gagal 3 periode;Netral
@Mdy_Asmara1701 kalau memang sudah gak mampu silahkan mundur, bukannya minta 3 periode..;Negatif
"@YanHarahap @Lokomotif881 maka nya mereka menginginkan 3 periode...
yg berkuasa sebenernya siapa hayo ?";Negatif
@IstanaLurah Mudah mudahan sekaratnya 3 periode;Netral
"@YanHarahap Ada lagunya,,""sebagai presiden yg tak dianggap aku hanya bisa mencoba bertahan....(minta 3 periode)"" hahaha";Netral
"@HASapardan Sekarang aja paling sering lempar issue 3 periode; diam2 pengen nyalon lagi nih pak Beye 🤭.";Netral
@cakimiNOW @hanifdhakiri Bapak 3 Periode;Positif
@msaid_didu Begini aja minta 3 periode😁;Netral
"@ffxkdzdy ""menurut kamu gimana kalo pak presiden menjabat 3 periode?""";Netral
@unnesmenfess pak fathur gmau 3 periode?;Netral
@Mdy_Asmara1701 Lanjutkan 3 periode?;Netral
@Naollivia @HanastiNasution @jokowi Yg kasih opsi 3 periode pan pkb golkar... Maklum gak punya tokoh 🤣🤣🤣🤣;Netral
@dapitnih Biar bisa proposal 3 periode om;Positif
@NastarBubuk @CNNIndonesia 3 periode dan bangun IKN;Positif
@aedialism Tak kira nunggu 3 periode hokage;Netral
"Ga ada 3 periode dalam undang2
Kenapa mesti ada diskusi... 
Kopigman";Negatif
"@LurahIstana Padahal tuan presiden sudah sangat jelas menyebut
1.Sukseskan pemilu 12 april 2024
2.lupakan wacana 3 periode";Negatif
@unnesmenfess kukira pak fath00r bisa 3 periode;Netral
@jokowi Begini kwalitas nya,minta 3 periode pula,memalukan.;Negatif
@CNNIndonesia Udah gagal minta 3 periode AMBYAR;Negatif
@Mdy_Asmara1701 Begitu gigihnya beliau membela mafia migor.. demi 3 periode.;Negatif
@darjofess debat masalah 3 periode ae;Netral
@CNNIndonesia klo gak mampu ya mundur, bukannya minta nambah masa jabatan atau 3 periode;Negatif
@maungngomul yg kayak gini mau 3 periode?;Negatif
@CNNIndonesia Karena banyak hal yg gagal, jadi harus 3 periode atw nambah masa jabatan gitu?;Negatif
@jokowi Karena presidennya tidak becus ngurus negara pa'de tapi mau 3 periode.;Negatif
@SOERYAWAD1 @jokowi Bilang pendukungnya yang vminta penundaan pemilu ata 3 periode untuk mikir atau ingin memanfaatkan beliau;Netral
@Ardiesuhardi1 Ada yang 2 periode gak ngasilin apa apa, utang makin numpuk, malah pengen 3 periode gi;Negatif
@abu_waras Sudah gagal total masih maksa pengen 3 periode, kan goblok alias belegug total.;Negatif
@UyokBack Yg menang lembaga survey 3 periode Mbah...;Netral
@AtokMiauw99 Berarti anda salah 1 orang yg tdk termasuk dalam 110 juta Big Data Luhut yg menginginkan 3 periode..😁;Netral
Gak ada ya periode 3, ini orde baru, masa periode maksimal cuma 2;Netral
"RABU, 27/APRIL/2022,

RESULT PASARAN BURMA
PERIODE KE - 1769
PRIZE 1 : 5616
PRIZE 2 : 6932
PRIZE 3 : 8070
SELAMAT KEPADA PARA PEMENANG";Netral
@dearparksungjin Wkwkwkkwkwkwkwk aku juga mencoba merecall dritadi hapus post hapus post 😭🖐️ SAMA-SAMA~~~ SALAM PARK BROS 3 PERIODE;Positif
@papa_loren Lah kalo minta 3 periode ?;Netral
@CNNIndonesia Lalu masih ada yg ngomong 3 periode;Netral
@VICE_ID ada jokowi 3 periode;Positif
